candidate_id,confidence,recommended_action,name,name_en,aliases,brand_name,brewery,beer_style,abv,ibu,country,origin_region,image_url,description,tasting_note,status,source,source_drink_count,source_tenant_count,public_visible_count,enabled_count,source_drink_ids,source_tenant_ids,source_names,source_brand_names,source_breweries,review_note
candidate_0291,exact_brand_name_match,create_product_then_link_source_drinks,泡泡浴,,,Alus,Alus,日式柚子拉格,5.1,,深圳,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/3d6cb427-a8c3-4583-a7c4-5a3ad9f5f787/drinks/bf585bd3-9a78-4c17-ad7e-327340cd6abd/_____20260604223640_97_60.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,5,4,2,5,bf585bd3-9a78-4c17-ad7e-327340cd6abd|cb23ecc2-dce3-4519-a6ad-83848d69b15a|8a4db5ad-ea3e-487e-8254-f098879b2343|c463fc75-47bd-44ed-a011-fb120867de0e|7198042c-626d-4fa5-ad6c-eb883a6165e5,3d6cb427-a8c3-4583-a7c4-5a3ad9f5f787|57d005da-1193-4bd2-955a-ef6b9653516d|81a90487-39c9-46bb-b221-68ff631275d6|c3af90db-9734-4750-927c-38f6b37fb3e0,泡泡浴,Alus,Alus,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0322,exact_brand_name_match,create_product_then_link_source_drinks,饼干,,,Alus,Alus,德式皮尔森,5.2,,深圳,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/82bf1237-e90c-4379-a2bc-a6dad2726b93/drinks/541585e6-4440-479f-a306-ee145de58a17/no-menu-beer-artwork__4_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,3,3,1,3,fabc796c-cd3e-4bdd-9e2a-d408081d5323|af551b53-d9e8-47c4-ac8f-9da701f9fbbb|541585e6-4440-479f-a306-ee145de58a17,57d005da-1193-4bd2-955a-ef6b9653516d|283206e3-22d9-4a54-b8a5-70694b1ec062|82bf1237-e90c-4379-a2bc-a6dad2726b93,饼干,Alus,Alus,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0509,exact_brand_name_match,create_product_then_link_source_drinks,狄俄尼索斯的眼泪,,,退界,退界,白葡萄海盐酒花酸拉格,6,,成都,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/7aa1147c-5c8b-4c68-bc11-56ce34608689/drinks/9c6dd799-7f8c-44ce-b912-95fb85e0f35d/no-menu-beer-artwork__64_.jpg,葡萄汁水的鲜活进发中段透出矿物与草本,葡萄汁水的鲜活进发中段透出矿物与草本,active,production_drinks_2026-06-30_conservative_exact_key,3,3,2,3,9c6dd799-7f8c-44ce-b912-95fb85e0f35d|d681ca8e-2f25-46fe-9e70-bc4bdd78f531|624eb27a-c715-4e04-bb2a-46b839cb7111,7aa1147c-5c8b-4c68-bc11-56ce34608689|494bcf1f-8346-480f-a396-204b104c9313|283206e3-22d9-4a54-b8a5-70694b1ec062,狄俄尼索斯的眼泪,退界,退界,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0387,exact_brand_name_match,create_product_then_link_source_drinks,黑武士,,,玄水屋,玄水屋,水果酸艾尔,4.2,,西安,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/d897a73b-37fb-4c57-af0f-79d8759173cb/drinks/7dd63e93-6d77-406d-94f3-b878b3e265da/no-menu-beer-artwork__86_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,3,3,1,3,6735f156-12dd-48b6-9b99-ef372bf0a8e4|7dd63e93-6d77-406d-94f3-b878b3e265da|b9f80a82-f1e8-4c6f-8ff2-703c5dbdaa16,283206e3-22d9-4a54-b8a5-70694b1ec062|d897a73b-37fb-4c57-af0f-79d8759173cb|7cce9b27-acd5-4bdc-a302-153c8245a1c1,黑武士,玄水屋,玄水屋,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0396,exact_brand_name_match,create_product_then_link_source_drinks,酒花大盗,,,Deadman,Deadman,双倍IPA,8,,香港,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/81a90487-39c9-46bb-b221-68ff631275d6/drinks/e4fb40f2-af9b-423f-a95a-94c728a3cdb8/no-menu-beer-artwork__18_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,3,2,2,3,e4fb40f2-af9b-423f-a95a-94c728a3cdb8|699e8493-a68c-4d21-b68f-1bd6ba2b5146|acea536b-e527-460f-a436-e74b73e9fd1c,81a90487-39c9-46bb-b221-68ff631275d6|82bf1237-e90c-4379-a2bc-a6dad2726b93,酒花大盗,Deadman,Deadman,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0159,exact_brand_name_match,create_product_then_link_source_drinks,喵醺,,,Alus,Alus,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/81a90487-39c9-46bb-b221-68ff631275d6/drinks/a21803a7-2d2b-47ee-8bf0-e794e10744e3/no-menu-beer-artwork__26_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,3,2,0,1,493f723f-4886-47cb-ad52-9bf7348163b5|a21803a7-2d2b-47ee-8bf0-e794e10744e3|2bebe397-2f85-48a5-8799-5250ff20b541,81a90487-39c9-46bb-b221-68ff631275d6|c3af90db-9734-4750-927c-38f6b37fb3e0,喵醺,Alus,Alus,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0173,exact_brand_name_match,create_product_then_link_source_drinks,南方,,,Alus,Alus,,,,,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/81a90487-39c9-46bb-b221-68ff631275d6/drinks/ece461ac-2c0b-4c6d-bd91-0cac5bb7d8a4/no-menu-beer-artwork__1_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,3,2,0,3,ece461ac-2c0b-4c6d-bd91-0cac5bb7d8a4|e7dde07b-11d6-4310-86fb-91d8ad0eac28|7771ff07-fcdc-427c-a354-335051e917ca,81a90487-39c9-46bb-b221-68ff631275d6|7aa1147c-5c8b-4c68-bc11-56ce34608689,南方,Alus,Alus,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0329,exact_brand_name_match,create_product_then_link_source_drinks,想象中的雨,,,Fever,Fever,农舍艾尔塞松,4.6,,西安,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/1cff208a-4424-4867-966d-a7839ac59f6f/drinks/94d157cd-cad5-4db7-9c0f-52f510ef694d/no-menu-beer-artwork__95_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,3,3,2,3,94d157cd-cad5-4db7-9c0f-52f510ef694d|6ac05b76-0976-4939-b37a-bddbc85b7a03|945ed276-5436-4b11-b570-ba7c45bf2377,1cff208a-4424-4867-966d-a7839ac59f6f|494bcf1f-8346-480f-a396-204b104c9313|26597d55-8a12-4185-b3ef-cb9a3ac1773a,想象中的雨,Fever|FEVER,Fever|FEVER,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0280,exact_brand_name_match,create_product_then_link_source_drinks,晓夫,,,退界,退界,墨西哥拉格,4.3,,成都,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/c3af90db-9734-4750-927c-38f6b37fb3e0/drinks/88d10062-8afb-4c24-a230-4a913d041493/no-menu-beer-artwork_-_2026-06-07T201741.747.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,3,3,1,3,88d10062-8afb-4c24-a230-4a913d041493|7ecf0b7c-ddb3-42a9-a9bc-5c5b3a1edf39|13a3b7e5-1dd9-4b66-8284-920b0e8ac946,c3af90db-9734-4750-927c-38f6b37fb3e0|57d005da-1193-4bd2-955a-ef6b9653516d|a4f4002f-fccd-41dd-bbc5-153d30fc5385,晓夫,退界,退界,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
candidate_0175,exact_brand_name_match,create_product_then_link_source_drinks,依帕,,,赤屿谷盗,赤屿谷盗,西海岸 IPA,5.7,30,海南,,https://agtujigvxxdppngirqtu.supabase.co/storage/v1/object/public/taplist-media/d897a73b-37fb-4c57-af0f-79d8759173cb/drinks/8ddeccdf-1951-4563-a48a-d313efba1523/no-menu-beer-artwork__47_.jpg,,,active,production_drinks_2026-06-30_conservative_exact_key,3,3,2,3,4d1da7d9-8b21-4706-b535-355b9ff70103|8ddeccdf-1951-4563-a48a-d313efba1523|fb7b89d5-a7b5-4813-86ee-9286275cabd6,4d1da7d9-8b21-4706-b535-355b9ff79388|d897a73b-37fb-4c57-af0f-79d8759173cb|2c191730-69f6-4031-8256-91aa59e5bc52,依帕,赤屿谷盗,赤屿谷盗|赤峪谷盈,Exact normalized brand+name matched. Still review before merging if packaging/bar-specific naming differs.
